,numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
11,12,Ellie Turner,Mohamed Welch,ELQK41348591516215,26,0.0,,2017-12-20T17:03:32,0,0.0,200000.0,AprovadoComite,De 31 a 50 % - Médio,0.5849056603773584,0.4150943396226415,-3e-15,50000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,5369982.0,6118711.0,5595689.0,-720844.0,1715000.0,115000.0,1693990.0,13871246.0,-772398.0,12.0,-9455401.0,2009.0,De 11 a 16 anos,600000.0,False,False,0.0,183509.0,
20,21,Dr. Terry Smith,Dr. Mary Stokes,HMFO23636187362512,40,0.458051889,0.0,2017-11-22T00:00:00,0,12882.35,34000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,-0.866025403784439,34000.0,,,,,,,,,,2915470.0,1034268.0,12.0,-852138.0,2009.0,De 11 a 16 anos,150000.0,False,True,1.0,2700.0,2020-02-05T20:08:45
21,22,Marilyn Chan-Anderson,Raymond Parker,PCVI24213068479712,60,0.3757811558,0.0,2014-03-31T00:00:00,1,2400.02,350000.0,AprovadoComite,De 51 a 80 % - Alto,0.4716981132075471,0.5283018867924528,0.999990121860262,180000.0,2020-02-07T18:57:37,2018-12-31T02:00:00,1164378.0,1164378.0,1164378.0,1113605.0,0.0,0.0,0.0,1976986.0,339799.0,12.0,832480.0,2008.0,De 11 a 16 anos,50000.0,True,True,0.6913422987,46253.0,
22,23,Mary Smith,Mr. Leon Smith,HMOW17454360616914,18,0.6915,0.0,2013-02-18T00:00:00,0,0.0,50000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,7.5e-15,50000.0,,2018-12-31T00:00:00,3670009.0,139759.0,3775553.0,3414586.0,0.0,1444038.0,788280.0,9077423.0,1182617.0,12.0,-6807767.0,2009.0,De 11 a 16 anos,900000.0,False,True,0.9918288416,539660.0,2020-02-05T20:17:07
25,26,Barry Whitehead,Mrs. Dawn Kay,LSWO05242442631373,14,0.2860282532,0.0,2009-06-17T00:00:00,0,0.0,300000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7358490566037735,0.2641509433962264,0.0,300000.0,,,,,,,,,,30348455.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,1000000.0,False,False,1.0,1895888.0,2020-02-19T13:22:46
27,28,Declan Bolton,Marcus Stewart,GMDC41398326600676,0,0.0,,2019-12-19T17:29:40,0,0.0,15000.0,ReprovadoAnalista,De 31 a 50 % - Médio,0.5660377358490566,0.4339622641509433,0.0,,,,,,,,,,,47730.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,72400.0,True,True,0.0,0.0,
37,38,Dr. Henry Jones,Toby Taylor,RKYL60948261495604,3,0.4576666993,0.0,2009-06-29T00:00:00,0,0.0,30000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,30000.0,,,,,,,,,,3359403.0,0.0,12.0,0.0,2008.0,De 11 a 16 anos,78800.0,False,True,1.0,52800.0,2020-02-05T18:37:57
42,43,Dr. Michael North,Leah Sheppard,IYZA05872767332466,2,0.0,,2013-09-30T17:15:04,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.7169811320754716,0.2830188679245283,0.0,20000.0,,2019-12-31T00:00:00,437853.0,272388.0,450614.0,178225.0,0.0,0.0,201085.0,624350.0,-3319.0,12.0,-431401.0,2008.0,De 11 a 16 anos,40000.0,False,True,0.0,10800.0,2020-02-05T18:48:03
43,44,Mrs. Tina Cox,William Miller,SLUA32337517673766,0,0.3589796807,0.0,2018-01-09T00:00:00,0,0.0,20000.0,AprovadoAnalista,De 11 a 30 % - Baixo,0.830188679245283,0.1698113207547169,0.0,20000.0,,,,,,,,,,47595914.0,0.0,12.0,0.0,2006.0,De 11 a 16 anos,550000.0,False,False,1.0,3687008.0,2020-02-05T18:49:27
45,47,Neil Wilson-Moore,Connor Lloyd,NQVD66927247638857,43,0.3700701446,0.0,2006-06-01T00:00:00,0,2480.0,15000.0,AprovadoAnalista,De 31 a 50 % - Médio,0.6792452830188679,0.320754716981132,0.0,15000.0,,,,,,,,,,2179468.0,0.0,12.0,0.0,2005.0,De 11 a 16 anos,60000.0,False,True,1.0,7020.0,2020-02-05T18:50:41
